seccion,Descripcion,unidad,saldo_cantidad,saldo_valor,entrada_cantidad,entrada_valor,salida_cantidad,salida_valor,saldos_cantidad,saldos_valor,product_name,color_code,thickness,dev_flag,raw_suffix
A 1 - TITULO 2/18,CONFITE 2003 2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,CONFITE,2003,2/18,False,
A 1 - TITULO 2/18,ROJO 3006 2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,ROJO,3006,2/18,False,
A 1 - TITULO 2/18,VERDE MEDIO 4029 2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,VERDE MEDIO,4029,2/18,False,
A 1 - TITULO 2/18,AZUL PETROLEO 7084 2/18 DEV,KILOS,0.0,0.0,204.0,204.0,0.0,0.0,204.0,204.0,AZUL PETROLEO,7084,2/18,True,
A 1 - TITULO 2/18,CLAVEL 3005 2/18,KILOS,11.0,11.0,0.0,0.0,11.0,11.0,0.0,0.0,CLAVEL,3005,2/18,False,
A 1 - TITULO 2/18,VERDE BOTELLA 4011 2/18,KILOS,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0,VERDE BOTELLA,4011,2/18,False,
A 1 - TITULO 2/18,VERDE LECHUGA 4007 2/18 DEV,KILOS,0.0,0.0,203.0,203.0,0.0,0.0,203.0,203.0,VERDE LECHUGA,4007,2/18,True,
A 1 - TITULO 2/18,CICLAN BAJO 2011 2/18,KILOS,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,CICLAN BAJO,2011,2/18,False,
A 1 - TITULO 2/18,AMARILLO CANARIO 0015 2/18,KILOS,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,AMARILLO CANARIO,0015,2/18,False,
A 1 - TITULO 2/18,CONFITE 2008 2/18,KILOS,0.0,0.0,204.0,204.0,0.0,0.0,204.0,204.0,CONFITE,2008,2/18,False,
A 1 - TITULO 2/18,CICLAN 2004 2/18 DEV,KILOS,0.0,0.0,204.0,204.0,0.0,0.0,204.0,204.0,CICLAN,2004,2/18,True,
A 1 - TITULO 2/18,MIXTOS 2/18,KILOS,10.5,10.5,0.0,0.0,10.5,10.5,0.0,0.0,MIXTOS,,2/18,False,
A 2 - TITULO 2/32,VERDE 4026 2/32,KILOS,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,VERDE,4026,2/32,False,
A 2 - TITULO 2/32,KANTUTA 3045 2/32-D DEV,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,KANTUTA 3045 2/32-D,,,True,
A 4 - TITULO 4/9,BLANCO 0010 4/9,KILOS,0.0,0.0,102.0,102.0,18.0,18.0,84.0,84.0,BLANCO,0010,4/9,False,
A 5 - TITULO 2/12,CELESTE 7054 2/12 DEV,KILOS,0.0,0.0,196.0,196.0,196.0,196.0,0.0,0.0,CELESTE,7054,2/12,True,
A 11 - TITULO 3/15 MADEJITAS,AZUL FRANCIA 7007 3/15 MADEJITAS,KILOS,10.5,10.5,0.0,0.0,10.5,10.5,0.0,0.0,AZUL FRANCIA 7007 3/15 MADEJITAS,,,False,
A 13 - 2/13 TIPO N,VERDE LECHUGA 4007 2/13 DEV,KILOS,0.0,0.0,99.0,99.0,0.0,0.0,99.0,99.0,VERDE LECHUGA,4007,2/13,True,
A 13 - 2/13 TIPO N,NEGRO 5000 2/13-N DEV,KILOS,0.0,0.0,199.0,199.0,0.0,0.0,199.0,199.0,NEGRO 5000 2/13-N,,,True,
